job_title,experience_level,salary_in_usd,company_location
Data Management Associate,MI,135000,US
Data Management Associate,MI,90000,US
Data Scientist,SE,215000,US
Data Scientist,SE,200000,US
Data Analyst,EN,135600,US
Data Analyst,EN,66100,US
Data Analyst,SE,165300,US
Data Analyst,SE,78700,US
Data Analyst,SE,169190,US
Data Analyst,SE,120850,US
Data Product Manager,MI,220700,US
Data Product Manager,MI,102100,US
Data Scientist,SE,120000,US
Data Scientist,SE,90000,US
Data Engineer,MI,150200,US
Data Engineer,MI,89000,US
Data Engineer,SE,188640,US
Data Engineer,SE,125760,US
Data Engineer,SE,158100,US
Data Engineer,SE,85300,US
Data Lead,SE,130000,US
Data Lead,SE,66000,US
Data Analyst,EN,74058,LT
Data Analyst,EN,49364,LT
Data Scientist,SE,220000,US
Data Scientist,SE,110000,US
Data Scientist,MI,158100,US
